Pattern,1v_N,1v_R_S2,1v_P_S2,1v_R_V1,1v_P_V1,2v_N,2v_R_S2,2v_P_S2,2v_R_V1,2v_P_V1
Fan-Out,39,0.449,0.078,0.256,0.118,27,0.926,0.069,0.926,0.115
Fan-In,28,0.509,0.07,0.518,0.161,29,0.353,0.029,0.664,0.091
Cycle,12,0.604,0.036,0.521,0.076,50,0.75,0.098,0.725,0.155
Gather-Scatter,65,0.712,0.192,0.681,0.372,176,0.869,0.304,0.945,0.46
Scatter-Gather,36,0.375,0.066,0.257,0.109,71,0.518,0.093,0.835,0.234
Stack,5,0.7,0.017,0.45,0.03,13,0.904,0.034,0.788,0.051
Random,19,0.618,0.054,0.513,0.115,40,0.831,0.088,0.887,0.155
Bipartite,18,0.208,0.016,0.153,0.036,26,0.779,0.056,0.798,0.097
Unknown,136,0.026,0.016,0.013,0.022,200,0.036,0.02,0.031,0.029
