Pattern,1v_N,1v_R_S2,1v_P_S2,1v_R_V1,1v_P_V1,2v_N,2v_R_S2,2v_P_S2,2v_R_V1,2v_P_V1
Fan-Out,50,0.555,0.12,0.385,0.205,66,0.947,0.155,0.97,0.249
Fan-In,36,0.472,0.083,0.417,0.166,74,0.595,0.117,0.706,0.212
Cycle,23,0.62,0.069,0.5,0.132,71,0.771,0.137,0.764,0.217
Gather-Scatter,98,0.778,0.279,0.74,0.491,262,0.906,0.403,0.96,0.562
Scatter-Gather,49,0.444,0.101,0.357,0.19,181,0.68,0.263,0.849,0.44
Stack,32,0.555,0.081,0.398,0.146,78,0.837,0.159,0.824,0.249
Random,28,0.696,0.089,0.589,0.18,48,0.839,0.105,0.901,0.183
Bipartite,21,0.262,0.025,0.19,0.051,40,0.725,0.078,0.8,0.142
Unknown,136,0.026,0.016,0.013,0.022,200,0.036,0.02,0.031,0.029
