Pattern,P (baseline),S2,F1,P2,V1
Fan-Out,67,0.072,0.061,0.025,0.112
Fan-In,62,0.044,0.014,0.015,0.11
Cycle,66,0.078,0.046,0.023,0.135
Gather-Scatter,247,0.266,0.064,0.09,0.433
Scatter-Gather,111,0.087,0.051,0.032,0.202
Stack,18,0.027,0.003,0.005,0.043
Random,59,0.074,0.024,0.017,0.14
Bipartite,45,0.043,0.011,0.011,0.079
Unknown,341,0.019,0.005,0.015,0.027
